index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
253,tennessee,Richmond,richmond,Richmond,Yes,3,1964-1965,1984-1985,RESOLVED,Inherited established project identity,,
254,tennessee,Roanoke College,roanoke-college,Roanoke (Va.),No,1,1921-1922,1921-1922,RESOLVED,Historical/non-current source identity,,
255,tennessee,Rollins,rollins,Rollins,No,1,1980-1981,1980-1981,RESOLVED,Inherited established project identity,,
256,tennessee,Rutgers,rutgers,Rutgers,Yes,3,1968-1969,2025-2026,RESOLVED,Inherited established project identity,,
257,tennessee,S. Chattanooga YMCA,south-chattanooga-ymca,South Chattanooga YMCA,No,3,1909-1910,1913-1914,RESOLVED,Historical/non-current source identity,,
258,tennessee,Saint Joseph's,saint-joseph-s,Saint Joseph's,Yes,1,2020-2021,2020-2021,RESOLVED,Current D1 registry / Tennessee alias normalization,,
259,tennessee,Saint Peter's,saint-peter-s,Saint Peter's,Yes,1,2023-2024,2023-2024,RESOLVED,Current D1 registry / Tennessee alias normalization,,
260,tennessee,Samford,samford,Samford,Yes,2,1977-1978,2018-2019,RESOLVED,Inherited established project identity,,
261,tennessee,San Diego St.,san-diego-state,San Diego State,Yes,2,1979-1980,1988-1989,RESOLVED,Current D1 registry / Tennessee alias normalization,,
262,tennessee,San Diego State,san-diego-state,San Diego State,Yes,1,2009-2010,2009-2010,RESOLVED,Current D1 registry / Tennessee alias normalization,,
263,tennessee,San Francisco,san-francisco,San Francisco,Yes,3,1970-1971,1977-1978,RESOLVED,Current D1 registry / Tennessee alias normalization,,
264,tennessee,San Jose State,san-jose-state,San Jose State,Yes,2,1978-1979,1982-1983,RESOLVED,Inherited established project identity,,
265,tennessee,Santa Clara,santa-clara,Santa Clara,Yes,2,1973-1974,2014-2015,RESOLVED,Current D1 registry / Tennessee alias normalization,,
266,tennessee,Savannah State,savannah-state,Savannah State,No,1,2011-2012,2011-2012,RESOLVED,Inherited established project identity,,
267,tennessee,SE Louisiana,se-louisiana,SE Louisiana,Yes,1,1985-1986,1985-1986,RESOLVED,Inherited established project identity,,
268,tennessee,Seton Hall,seton-hall,Seton Hall,Yes,3,1976-1977,1992-1993,RESOLVED,Inherited established project identity,,
269,tennessee,Sewanee,sewanee,Sewanee,No,21,1923-1924,1964-1965,RESOLVED,Inherited established project identity,,
270,tennessee,Siena,siena,Siena,Yes,1,2008-2009,2008-2009,RESOLVED,Inherited established project identity,,
271,tennessee,SMU,smu,SMU,Yes,2,2000-2001,2001-2002,RESOLVED,Inherited established project identity,,
272,tennessee,South Alabama,south-alabama,South Alabama,Yes,1,2005-2006,2005-2006,RESOLVED,Inherited established project identity,,
273,tennessee,South Carolina,south-carolina,South Carolina,Yes,84,1926-1927,2025-2026,RESOLVED,Inherited established project identity,,
274,tennessee,South Carolina State,south-carolina-state,South Carolina State,No,1,2025-2026,2025-2026,RESOLVED,Historical/non-current source identity,,
275,tennessee,South Florida,south-florida,South Florida,Yes,6,1973-1974,1999-2000,RESOLVED,Inherited established project identity,,
276,tennessee,Southern Cal,usc,USC,Yes,3,1967-1968,1987-1988,RESOLVED,Current D1 registry / Tennessee alias normalization,,
277,tennessee,Southern Calif.,usc,USC,Yes,4,1996-1997,2010-2011,RESOLVED,Current D1 registry / Tennessee alias normalization,,
278,tennessee,Southern Illinois,southern-illinois,Southern Illinois,Yes,2,1968-1969,1999-2000,RESOLVED,Inherited established project identity,,
279,tennessee,Southern Miss.,southern-miss,Southern Miss,Yes,1,1984-1985,1984-1985,RESOLVED,Inherited established project identity,,
280,tennessee,Springfield,springfield-college,Springfield College,No,1,1955-1956,1955-1956,RESOLVED,Historical/non-current source identity,,
281,tennessee,St. Francis (N.Y.),st-francis-brooklyn,St. Francis Brooklyn,No,1,1982-1983,1982-1983,RESOLVED,Historical/non-current source identity,,
282,tennessee,St. Francis (Pa.),st-francis-pa,St. Francis (Pa.),No,1,1969-1970,1969-1970,RESOLVED,Inherited established project identity,,
283,tennessee,St. John's,st-john-s,St. John's,Yes,8,1942-1943,2001-2002,RESOLVED,Inherited established project identity,,
284,tennessee,St. Joseph's,saint-joseph-s,Saint Joseph's,Yes,3,1948-1949,1998-1999,RESOLVED,Current D1 registry / Tennessee alias normalization,,
285,tennessee,St. Louis,saint-louis,Saint Louis,Yes,1,1965-1966,1965-1966,RESOLVED,Current D1 registry / Tennessee alias normalization,,
286,tennessee,St. Mary's (Md.),st-marys-md,St. Mary's College of Md.,No,1,1909-1910,1909-1910,RESOLVED,Historical/non-current source identity,,
287,tennessee,St. Peter's,saint-peter-s,Saint Peter's,Yes,1,1983-1984,1983-1984,RESOLVED,Current D1 registry / Tennessee alias normalization,,
288,tennessee,St. Stanislas,st-stanislas,St. Stanislas,No,1,1923-1924,1923-1924,RESOLVED,Historical/non-current source identity,,
289,tennessee,Stanford,stanford,Stanford,Yes,2,1956-1957,2004-2005,RESOLVED,Inherited established project identity,,
290,tennessee,SW Louisiana,louisiana,Louisiana,Yes,4,1966-1967,1985-1986,RESOLVED,Inherited established project identity,,
291,tennessee,SW Missouri State,missouri-state,Missouri State,Yes,1,1998-1999,1998-1999,RESOLVED,Inherited established project identity,,
292,tennessee,Syracuse,syracuse,Syracuse,Yes,9,1972-1973,2025-2026,RESOLVED,Inherited established project identity,,
293,tennessee,Tampa,tampa,Tampa,No,3,1948-1949,1968-1969,RESOLVED,Inherited established project identity,,
294,tennessee,Tarleton State,tarleton-state,Tarleton,Yes,1,2023-2024,2023-2024,RESOLVED,Current D1 registry / Tennessee alias normalization,,
295,tennessee,TCU,tcu,TCU,Yes,2,1991-1992,2015-2016,RESOLVED,Inherited established project identity,,
296,tennessee,Temple,temple,Temple,Yes,6,1944-1945,2008-2009,RESOLVED,Inherited established project identity,,
297,tennessee,Tennessee State,tennessee-state,Tennessee State,Yes,7,1990-1991,2025-2026,RESOLVED,Current D1 registry / Tennessee alias normalization,,
298,tennessee,Tennessee Tech,tennessee-tech,Tennessee Tech,Yes,29,1939-1940,2023-2024,RESOLVED,Inherited established project identity,,
299,tennessee,Tennessee Wesleyan,tennessee-wesleyan,Tennessee Wesleyan,No,14,1926-1927,1939-1940,RESOLVED,Historical/non-current source identity,,
300,tennessee,Tennessee-Martin,ut-martin,UT Martin,Yes,1,1993-1994,1993-1994,RESOLVED,Current D1 registry / Tennessee alias normalization,,
