source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
north-carolina,Louisville (8/6),louisville,Louisville,Yes,1,2016-2017,2016-2017,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Louisville (9/15),louisville,Louisville,Yes,1,2018-2019,2018-2019,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Loyola,loyola-chicago,Loyola Chicago,Yes,1,2004-2005,2004-2005,RESOLVED,CONTEMPORANEOUS_OFFICIAL_GAME_IDENTITY,,Includes 2004 unqualified 'Loyola' row resolved by contemporaneous UNC recap to Loyola Chicago; newer UNC 2025-26 100-point table mislabels that game as Loyola (Md.).
north-carolina,Loyola (19/-),loyola-maryland,Loyola Maryland,Yes,1,2021-2022,2021-2022,RESOLVED,CONTEMPORANEOUS_OFFICIAL_GAME_IDENTITY,,Includes 2021 unqualified 'Loyola' row resolved by contemporaneous UNC recap/box score to Loyola Maryland.
north-carolina,Loyola (Ill.),loyola-chicago,Loyola Chicago,Yes,1,1929-1930,1929-1930,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Includes 2004 unqualified 'Loyola' row resolved by contemporaneous UNC recap to Loyola Chicago; newer UNC 2025-26 100-point table mislabels that game as Loyola (Md.).
north-carolina,Loyola (Ill.) (2/-),loyola-chicago,Loyola Chicago,Yes,1,1958-1959,1958-1959,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Includes 2004 unqualified 'Loyola' row resolved by contemporaneous UNC recap to Loyola Chicago; newer UNC 2025-26 100-point table mislabels that game as Loyola (Md.).
north-carolina,Loyola (Md.),loyola-maryland,Loyola Maryland,Yes,1,1947-1948,1947-1948,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Includes 2021 unqualified 'Loyola' row resolved by contemporaneous UNC recap/box score to Loyola Maryland.
north-carolina,Loyola Marymount,loyola-marymount,Loyola Marymount,Yes,1,1987-1988,1987-1988,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,LSU,lsu,LSU,Yes,11,1924-1925,2008-2009,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,LSU (4/-),lsu,LSU,Yes,1,1955-1956,1955-1956,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Lynchburg,lynchburg,Lynchburg,No,3,1922-1923,1924-1925,RESOLVED,INSTITUTIONAL_IDENTITY_VERIFIED,,Virginia Christian College became Lynchburg College in 1919; source labels resolve to one institution.
north-carolina,Lynchburg Ath. Club,lynchburg-athletic-club,Lynchburg Athletic Club,No,1,1917-1918,1917-1918,RESOLVED,HISTORICAL_CLUB_IDENTITY_RETAINED,,
north-carolina,Lynchburg Elks,lynchburg-elks,Lynchburg Elks,No,1,1920-1921,1920-1921,RESOLVED,HISTORICAL_LOCAL_TEAM_IDENTITY_RETAINED,,
north-carolina,Lynchburg YMCA,lynchburg-ymca,Lynchburg YMCA,No,2,1913-1914,1914-1915,RESOLVED,HISTORICAL_YMCA_IDENTITY_RETAINED,,
north-carolina,Lynn’s White Flash (Raleigh),lynns-white-flash-raleigh,Lynn's White Flash (Raleigh),No,1,1941-1942,1941-1942,RESOLVED,HISTORICAL_LOCAL_TEAM_IDENTITY_RETAINED,,
north-carolina,Manhattan,manhattan,Manhattan,Yes,2,1969-1970,1985-1986,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Marquette,marquette,Marquette,Yes,5,1976-1977,2010-2011,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Marquette (-/-),marquette,Marquette,Yes,2,2020-2021,2021-2022,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Marshall,marshall,Marshall,Yes,3,1976-1977,2009-2010,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Maryland,maryland,Maryland,Yes,164,1923-1924,2013-2014,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Maryland (-/11),maryland,Maryland,Yes,1,1954-1955,1954-1955,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Maryland (1/-),maryland,Maryland,Yes,2,1956-1957,1958-1959,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Maryland (10/-),maryland,Maryland,Yes,1,1962-1963,1962-1963,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Maryland (11/-),maryland,Maryland,Yes,1,1960-1961,1960-1961,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Maryland (13/17),maryland,Maryland,Yes,1,1957-1958,1957-1958,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Maryland (16/-),maryland,Maryland,Yes,1,1955-1956,1955-1956,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Maryland (16/14),maryland,Maryland,Yes,1,1957-1958,1957-1958,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Maryland (17/-),maryland,Maryland,Yes,1,1959-1960,1959-1960,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Maryland (2/-),maryland,Maryland,Yes,1,1958-1959,1958-1959,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Maryland (3/11),maryland,Maryland,Yes,1,1957-1958,1957-1958,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
