canonical_game_id,season_label,game_date,date_precision,team_a_key,team_b_key,team_a_score,team_b_score,result_winner_team_key,overtime_periods,site_type,designated_home_team_key,venue_key,site_city,site_state,game_type,postseason_round,administrative_status,administrative_note,canonical_status,notes
CBBG-0000045,1908-1909,1909-02-04,EXACT,kansas,missouri,31,23,kansas,0,TEAM_A_HOME,kansas,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000046,1908-1909,1909-02-06,EXACT,central-missouri,missouri,14,36,missouri,0,TEAM_A_HOME,central-missouri,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000047,1908-1909,1909-02-12,EXACT,kansas,missouri,24,19,kansas,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000048,1908-1909,1909-02-13,EXACT,kansas,missouri,21,37,missouri,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000049,1908-1909,1909-02-17,EXACT,missouri,washington-university-of-st-louis,36,16,missouri,0,TEAM_A_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000050,1909-1910,1910-01-10,EXACT,missouri,william-jewell,42,19,missouri,0,TEAM_A_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000051,1909-1910,1910-01-11,EXACT,missouri,william-jewell,37,35,missouri,0,TEAM_A_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000052,1909-1910,1910-01-13,EXACT,missouri,washington-university-of-st-louis,25,10,missouri,0,TEAM_A_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000053,1909-1910,1910-01-14,EXACT,missouri,washington-university-of-st-louis,30,9,missouri,0,TEAM_A_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000054,1909-1910,1910-01-21,EXACT,grinnell,missouri,34,30,grinnell,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000055,1909-1910,1910-01-22,EXACT,grinnell,missouri,32,8,grinnell,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000056,1909-1910,1910-02-05,EXACT,emporia-state,missouri,8,32,missouri,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000057,1909-1910,1910-02-09,EXACT,central-missouri,missouri,27,28,missouri,0,TEAM_A_HOME,central-missouri,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000058,1909-1910,1910-02-10,EXACT,central-missouri,missouri,19,20,missouri,0,TEAM_A_HOME,central-missouri,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000059,1909-1910,1910-02-11,EXACT,kansas,missouri,29,15,kansas,0,TEAM_A_HOME,kansas,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000060,1909-1910,1910-02-12,EXACT,kansas,missouri,27,14,kansas,0,TEAM_A_HOME,kansas,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000061,1909-1910,1910-02-14,EXACT,drake,missouri,7,28,missouri,0,TEAM_A_HOME,drake,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000062,1909-1910,1910-02-15,EXACT,iowa-state,missouri,13,11,iowa-state,0,TEAM_A_HOME,iowa-state,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000063,1909-1910,1910-02-16,EXACT,iowa,missouri,20,6,iowa,0,TEAM_A_HOME,iowa,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000064,1909-1910,1910-02-21,EXACT,kansas,missouri,25,21,kansas,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000065,1909-1910,1910-02-22,EXACT,kansas,missouri,58,22,kansas,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000066,1909-1910,1910-02-28,EXACT,missouri,washington-university-of-st-louis,12,24,washington-university-of-st-louis,0,TEAM_B_HOME,washington-university-of-st-louis,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000067,1909-1910,1910-03-01,EXACT,missouri,washington-university-of-st-louis,13,35,washington-university-of-st-louis,0,TEAM_B_HOME,washington-university-of-st-louis,,,,REGULAR_SEASON,,,,PROVISIONAL,
