index,index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
1375,1375,MDRAW-01376,maryland,2025-26_record_book_all_time_results,1979-1980,1980,1980-02-23,Virginia,Virginia,virginia,Yes,82,71,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F23 [9] • Virginia W 82-71,resolved,,,,,
1376,1376,MDRAW-01377,maryland,2025-26_record_book_all_time_results,1979-1980,1980,1980-02-28,Georgia Tech,Georgia Tech,georgia-tech,Yes,51,49,W,0,,,unprefixed,NEUTRAL,Greensboro Coliseum,Greensboro Coliseum,Greensboro,NC,ACC Tournament,,CONFERENCE_TOURNAMENT,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F28 [7] Georgia Tech (OT) 4 W 51-49,resolved,,,,,
1377,1377,MDRAW-01378,maryland,2025-26_record_book_all_time_results,1979-1980,1980,1980-02-29,Clemson,Clemson,clemson,Yes,91,85,W,0,,,unprefixed,NEUTRAL,Greensboro Coliseum,Greensboro Coliseum,Greensboro,NC,ACC Tournament,,CONFERENCE_TOURNAMENT,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F29 [7] [17] Clemson 4 W 91-85,resolved,,,,,
1378,1378,MDRAW-01379,maryland,2025-26_record_book_all_time_results,1979-1980,1980,1980-03-01,Duke,Duke,duke,Yes,72,73,L,0,,,unprefixed,NEUTRAL,Greensboro Coliseum,Greensboro Coliseum,Greensboro,NC,ACC Tournament,,CONFERENCE_TOURNAMENT,Championship,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,M1 [7] Duke 4 L 72-73,resolved,,,,,
1379,1379,MDRAW-01380,maryland,2025-26_record_book_all_time_results,1979-1980,1980,1980-03-08,Tennessee,Tennessee,tennessee,Yes,86,75,W,0,,,unprefixed,NEUTRAL,Greensboro Coliseum,Greensboro Coliseum,Greensboro,NC,NCAA Tournament,,NCAA_TOURNAMENT,R32,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,M8 [8] Tennessee 5 W 86-75,resolved,,,,,
1380,1380,MDRAW-01381,maryland,2025-26_record_book_all_time_results,1979-1980,1980,1980-03-14,Georgetown,Georgetown,georgetown,Yes,68,74,L,0,,,unprefixed,NEUTRAL,The Spectrum,Spectrum,Philadelphia,PA,NCAA Tournament,,NCAA_TOURNAMENT,Sweet Sixteen,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,M14 [8] [11] Georgetown 6 L 68-74,resolved,,,,,
1381,1381,MDRAW-01382,maryland,2025-26_record_book_all_time_results,1980-1981,1981,1980-11-28,Navy,Navy,navy,Yes,86,64,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,N28 [4] Navy W 86-64,resolved,,,,,
1382,1382,MDRAW-01383,maryland,2025-26_record_book_all_time_results,1980-1981,1981,1980-12-02,American,American,american-university,Yes,95,65,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D2 [4] American W 95-65,resolved,,,,,
1383,1383,MDRAW-01384,maryland,2025-26_record_book_all_time_results,1980-1981,1981,1980-12-05,Wagner,Wagner,wagner,Yes,96,73,W,0,,,unprefixed,NEUTRAL,Carrier Dome,JMA Wireless Dome,Syracuse,NY,"Carrier Classic at Syracuse, N.Y. (Carrier Dome)",,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D5 [4] Wagner 1 W 96-73,resolved,,,,,
1384,1384,MDRAW-01385,maryland,2025-26_record_book_all_time_results,1980-1981,1981,1980-12-06,Syracuse,Syracuse,syracuse,Yes,83,73,W,0,,,at,OPPONENT_HOME,Carrier Dome,JMA Wireless Dome,Syracuse,NY,"Carrier Classic at Syracuse, N.Y. (Carrier Dome)",,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D6 [4] [18] at Syracuse 1 W 83-73,resolved,,,,,
1385,1385,MDRAW-01386,maryland,2025-26_record_book_all_time_results,1980-1981,1981,1980-12-10,Fairleigh Dickinson,Fairleigh Dickinson,fairleigh-dickinson,Yes,109,83,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D10 [4] Fairleigh Dickinson W 109-83,resolved,,,,,
1386,1386,MDRAW-01387,maryland,2025-26_record_book_all_time_results,1980-1981,1981,1980-12-13,Louisville,Louisville,louisville,Yes,67,78,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D13 [4] at Louisville L 67-78,resolved,,,,,
1387,1387,MDRAW-01388,maryland,2025-26_record_book_all_time_results,1980-1981,1981,1980-12-20,NC State,NC State,nc-state,Yes,82,75,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D20 [9] • NC State W 82-75,resolved,,,,,
1388,1388,MDRAW-01389,maryland,2025-26_record_book_all_time_results,1980-1981,1981,1980-12-23,Georgia Tech,Georgia Tech,georgia-tech,Yes,66,55,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D23 [9] • at Georgia Tech W 66-55,resolved,,,,,
1389,1389,MDRAW-01390,maryland,2025-26_record_book_all_time_results,1980-1981,1981,1980-12-29,Marshall,Marshall,marshall,Yes,114,89,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,"Maryland Invitational at College Park, Md. (Cole Field House)",,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D29 [9] Marshall 2 W 114-89,resolved,,,,,
1390,1390,MDRAW-01391,maryland,2025-26_record_book_all_time_results,1980-1981,1981,1980-12-30,St. Joseph’s,Saint Joseph's,saint-joseph-s,Yes,74,57,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,"Maryland Invitational at College Park, Md. (Cole Field House)",,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D30 [9] St. Joseph’s 2 W 74-57,resolved,,,,,
1391,1391,MDRAW-01392,maryland,2025-26_record_book_all_time_results,1980-1981,1981,1981-01-03,William & Mary,William & Mary,william-mary,Yes,69,64,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J3 [9] William & Mary W 69-64,resolved,,,,,
1392,1392,MDRAW-01393,maryland,2025-26_record_book_all_time_results,1980-1981,1981,1981-01-07,No. Carolina,North Carolina,north-carolina,Yes,66,75,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J7 [8] [16] • at No. Carolina L 66-75,resolved,,,,,
1393,1393,MDRAW-01394,maryland,2025-26_record_book_all_time_results,1980-1981,1981,1981-01-10,Duke,Duke,duke,Yes,94,79,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J10 [8] • Duke W 94-79,resolved,,,,,
1394,1394,MDRAW-01395,maryland,2025-26_record_book_all_time_results,1980-1981,1981,1981-01-14,Virginia,Virginia,virginia,Yes,64,66,L,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J14 [10] • Virginia L 64-66,resolved,,,,,
1395,1395,MDRAW-01396,maryland,2025-26_record_book_all_time_results,1980-1981,1981,1981-01-17,Clemson,Clemson,clemson,Yes,68,62,W,1,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J17 [10] [12] • at Clemson (OT) W 68-62,resolved,,,,,
1396,1396,MDRAW-01397,maryland,2025-26_record_book_all_time_results,1980-1981,1981,1981-01-20,UMES,Maryland Eastern Shore,maryland-eastern-shore,Yes,81,65,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J20 [10] UMES W 81-65,resolved,,,,,
1397,1397,MDRAW-01398,maryland,2025-26_record_book_all_time_results,1980-1981,1981,1981-01-24,Notre Dame,Notre Dame,notre-dame,Yes,70,73,L,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J24 [10] [13] Notre Dame L 70-73,resolved,,,,,
1398,1398,MDRAW-01399,maryland,2025-26_record_book_all_time_results,1980-1981,1981,1981-01-27,Pittsburgh,Pittsburgh,pittsburgh,Yes,69,66,W,1,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J27 [14] at Pittsburgh (OT) W 69-66,resolved,,,,,
1399,1399,MDRAW-01400,maryland,2025-26_record_book_all_time_results,1980-1981,1981,1981-01-31,Georgia Tech,Georgia Tech,georgia-tech,Yes,72,64,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J31 [14] • Georgia Tech W 72-64,resolved,,,,,
1400,1400,MDRAW-01401,maryland,2025-26_record_book_all_time_results,1980-1981,1981,1981-02-04,Wake Forest,Wake Forest,wake-forest,Yes,60,67,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F4 [13] [8] • at Wake Forest L 60-67,resolved,,,,,
1401,1401,MDRAW-01402,maryland,2025-26_record_book_all_time_results,1980-1981,1981,1981-02-07,Duke,Duke,duke,Yes,54,55,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F7 [13] • at Duke L 54-55,resolved,,,,,
1402,1402,MDRAW-01403,maryland,2025-26_record_book_all_time_results,1980-1981,1981,1981-02-12,Clemson,Clemson,clemson,Yes,72,70,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F12 [19] • Clemson W 72-70,resolved,,,,,
1403,1403,MDRAW-01404,maryland,2025-26_record_book_all_time_results,1980-1981,1981,1981-02-15,No. Carolina,North Carolina,north-carolina,Yes,63,76,L,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F15 [19] [10] • No. Carolina L 63-76,resolved,,,,,
1404,1404,MDRAW-01405,maryland,2025-26_record_book_all_time_results,1980-1981,1981,1981-02-21,Wake Forest,Wake Forest,wake-forest,Yes,94,80,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F21 [20] [5] • Wake Forest W 94-80,resolved,,,,,
1405,1405,MDRAW-01406,maryland,2025-26_record_book_all_time_results,1980-1981,1981,1981-02-25,NC State,NC State,nc-state,Yes,76,72,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F25 [17] • at NC State W 76-72,resolved,,,,,
1406,1406,MDRAW-01407,maryland,2025-26_record_book_all_time_results,1980-1981,1981,1981-02-28,Virginia,Virginia,virginia,Yes,63,74,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F28 [17] [3] • at Virginia L 63-74,resolved,,,,,
1407,1407,MDRAW-01408,maryland,2025-26_record_book_all_time_results,1980-1981,1981,1981-03-05,Duke,Duke,duke,Yes,56,53,W,0,,,unprefixed,NEUTRAL,Capital Centre,Capital Centre,Landover,MD,ACC Tournament,,CONFERENCE_TOURNAMENT,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,M5 [20] Duke 3 W 56-53,resolved,,,,,
1408,1408,MDRAW-01409,maryland,2025-26_record_book_all_time_results,1980-1981,1981,1981-03-06,Virginia,Virginia,virginia,Yes,85,62,W,0,,,unprefixed,NEUTRAL,Capital Centre,Capital Centre,Landover,MD,ACC Tournament,,CONFERENCE_TOURNAMENT,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,M6 [20] [4] Virginia 3 W 85-62,resolved,,,,,
1409,1409,MDRAW-01410,maryland,2025-26_record_book_all_time_results,1980-1981,1981,1981-03-07,No. Carolina,North Carolina,north-carolina,Yes,60,61,L,0,,,unprefixed,NEUTRAL,Capital Centre,Capital Centre,Landover,MD,ACC Tournament,,CONFERENCE_TOURNAMENT,Championship,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,M7 [20] [12] No. Carolina 3 L 60-61,resolved,,,,,
1410,1410,MDRAW-01411,maryland,2025-26_record_book_all_time_results,1980-1981,1981,1981-03-12,Tenn.-Chattanooga,Chattanooga,chattanooga,Yes,81,69,W,0,,,unprefixed,NEUTRAL,Dayton Arena,UD Arena,Dayton,OH,NCAA Tournament,,NCAA_TOURNAMENT,Play-in,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,M12 [18] Tenn.-Chattanooga 4 W 81-69,resolved,,,,,
1411,1411,MDRAW-01412,maryland,2025-26_record_book_all_time_results,1980-1981,1981,1981-03-14,Indiana,Indiana,indiana,Yes,64,99,L,0,,,unprefixed,NEUTRAL,Dayton Arena,UD Arena,Dayton,OH,NCAA Tournament,,NCAA_TOURNAMENT,R32,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,M14 [18] [9] Indiana 4 L 64-99,resolved,,,,,
1412,1412,MDRAW-01413,maryland,2025-26_record_book_all_time_results,1981-1982,1982,1981-11-27,St. Peter’s,Saint Peter's,saint-peter-s,Yes,49,42,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,N27 St. Peter’s W 49-42,resolved,,,,,
1413,1413,MDRAW-01414,maryland,2025-26_record_book_all_time_results,1981-1982,1982,1981-11-29,Lafayette,Lafayette,lafayette,Yes,82,58,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,N29 Lafayette W 82-58,resolved,,,,,
1414,1414,MDRAW-01415,maryland,2025-26_record_book_all_time_results,1981-1982,1982,1981-12-02,Long Island,LIU,liu,Yes,87,79,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D2 Long Island W 87-79,resolved,,,,,
1415,1415,MDRAW-01416,maryland,2025-26_record_book_all_time_results,1981-1982,1982,1981-12-05,George Mason,George Mason,george-mason,Yes,74,62,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D5 George Mason W 74-62,resolved,,,,,
1416,1416,MDRAW-01417,maryland,2025-26_record_book_all_time_results,1981-1982,1982,1981-12-07,UMES,Maryland Eastern Shore,maryland-eastern-shore,Yes,76,64,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D7 UMES W 76-64,resolved,,,,,
1417,1417,MDRAW-01418,maryland,2025-26_record_book_all_time_results,1981-1982,1982,1981-12-09,Towson,Towson,towson,Yes,75,59,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D9 Towson W 75-59,resolved,,,,,
1418,1418,MDRAW-01419,maryland,2025-26_record_book_all_time_results,1981-1982,1982,1981-12-12,NC State,NC State,nc-state,Yes,53,74,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D12 • at NC State L 53-74,resolved,,,,,
1419,1419,MDRAW-01420,maryland,2025-26_record_book_all_time_results,1981-1982,1982,1981-12-19,Ohio University,Ohio,ohio,Yes,90,64,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D19 Ohio University W 90-64,resolved,,,,,
1420,1420,MDRAW-01421,maryland,2025-26_record_book_all_time_results,1981-1982,1982,1981-12-23,Georgia Tech,Georgia Tech,georgia-tech,Yes,43,45,L,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D23 • Georgia Tech L 43-45,resolved,,,,,
1421,1421,MDRAW-01422,maryland,2025-26_record_book_all_time_results,1981-1982,1982,1981-12-29,UCLA,UCLA,ucla,Yes,57,90,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D29 [16] at UCLA L 57-90,resolved,,,,,
1422,1422,MDRAW-01423,maryland,2025-26_record_book_all_time_results,1981-1982,1982,1982-01-05,No. Carolina,North Carolina,north-carolina,Yes,50,66,L,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J5 [1] • No. Carolina L 50-66,resolved,,,,,
1423,1423,MDRAW-01424,maryland,2025-26_record_book_all_time_results,1981-1982,1982,1982-01-09,Duke,Duke,duke,Yes,40,36,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J9 • at Duke W 40-36,resolved,,,,,
1424,1424,MDRAW-01425,maryland,2025-26_record_book_all_time_results,1981-1982,1982,1982-01-12,Virginia,Virginia,virginia,Yes,40,45,L,1,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J12 [3] • at Virginia (OT) L 40-45,resolved,,,,,
1425,1425,MDRAW-01426,maryland,2025-26_record_book_all_time_results,1981-1982,1982,1982-01-16,Clemson,Clemson,clemson,Yes,62,57,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J16 • Clemson W 62-57,resolved,,,,,
1426,1426,MDRAW-01427,maryland,2025-26_record_book_all_time_results,1981-1982,1982,1982-01-20,Canisius,Canisius,canisius,Yes,91,73,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J20 Canisius W 91-73,resolved,,,,,
1427,1427,MDRAW-01428,maryland,2025-26_record_book_all_time_results,1981-1982,1982,1982-01-23,Notre Dame,Notre Dame,notre-dame,Yes,51,55,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J23 at Notre Dame L 51-55,resolved,,,,,
1428,1428,MDRAW-01429,maryland,2025-26_record_book_all_time_results,1981-1982,1982,1982-01-27,William & Mary,William & Mary,william-mary,Yes,50,43,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J27 at William & Mary W 50-43,resolved,,,,,
1429,1429,MDRAW-01430,maryland,2025-26_record_book_all_time_results,1981-1982,1982,1982-01-30,Georgia Tech,Georgia Tech,georgia-tech,Yes,63,64,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J30 • at Georgia Tech L 63-64,resolved,,,,,
1430,1430,MDRAW-01431,maryland,2025-26_record_book_all_time_results,1981-1982,1982,1982-02-03,Wake Forest,Wake Forest,wake-forest,Yes,61,56,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F3 [13] • Wake Forest W 61-56,resolved,,,,,
1431,1431,MDRAW-01432,maryland,2025-26_record_book_all_time_results,1981-1982,1982,1982-02-06,Duke,Duke,duke,Yes,77,60,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F6 • Duke W 77-60,resolved,,,,,
1432,1432,MDRAW-01433,maryland,2025-26_record_book_all_time_results,1981-1982,1982,1982-02-07,Hofstra,Hofstra,hofstra,Yes,94,59,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F7 Hofstra W 94-59,resolved,,,,,
1433,1433,MDRAW-01434,maryland,2025-26_record_book_all_time_results,1981-1982,1982,1982-02-11,No. Carolina,North Carolina,north-carolina,Yes,56,59,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F11 [2] • at No. Carolina L 56-59,resolved,,,,,
1434,1434,MDRAW-01435,maryland,2025-26_record_book_all_time_results,1981-1982,1982,1982-02-13,Clemson,Clemson,clemson,Yes,66,75,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F13 • at Clemson L 66-75,resolved,,,,,
1435,1435,MDRAW-01436,maryland,2025-26_record_book_all_time_results,1981-1982,1982,1982-02-20,Wake Forest,Wake Forest,wake-forest,Yes,42,48,L,0,,,at,OPPONENT_HOME,Greensboro Coliseum,Greensboro Coliseum,Greensboro,NC,"at Greensboro, N.C. (Greensboro Coliseum)",,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F20 • at Wake Forest 1 L 42-48,resolved,,,,,
1436,1436,MDRAW-01437,maryland,2025-26_record_book_all_time_results,1981-1982,1982,1982-02-24,NC State,NC State,nc-state,Yes,38,52,L,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F24 • NC State L 38-52,resolved,,,,,
1437,1437,MDRAW-01438,maryland,2025-26_record_book_all_time_results,1981-1982,1982,1982-02-27,Virginia,Virginia,virginia,Yes,47,46,W,1,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F27 [1] • Virginia (OT) W 47-46,resolved,,,,,
1438,1438,MDRAW-01439,maryland,2025-26_record_book_all_time_results,1981-1982,1982,1982-03-05,NC State,NC State,nc-state,Yes,28,40,L,0,,,unprefixed,NEUTRAL,Greensboro Coliseum,Greensboro Coliseum,Greensboro,NC,ACC Tournament,,CONFERENCE_TOURNAMENT,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,M5 NC State 2 L 28-40,resolved,,,,,
1439,1439,MDRAW-01440,maryland,2025-26_record_book_all_time_results,1981-1982,1982,1982-03-12,Richmond,Richmond,richmond,Yes,66,50,W,0,,,unprefixed,NEUTRAL,Madison Square Garden,Madison Square Garden,New York,NY,NIT,,NIT,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,M12 Richmond 3 W 66-50,resolved,,,,,
1440,1440,MDRAW-01441,maryland,2025-26_record_book_all_time_results,1981-1982,1982,1982-03-15,Georgia,Georgia,georgia,Yes,69,83,L,0,,,unprefixed,NEUTRAL,Madison Square Garden,Madison Square Garden,New York,NY,NIT,,NIT,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,M15 Georgia 3 L 69-83,resolved,,,,,
1441,1441,MDRAW-01442,maryland,2025-26_record_book_all_time_results,1982-1983,1983,1982-11-27,Penn State,Penn State,penn-state,Yes,79,97,L,0,,,unprefixed,NEUTRAL,Baltimore Arena,CFG Bank Arena,Baltimore,MD,"at Baltimore, Md. (Baltimore Arena)",,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,N27 Penn State 1 L 79-97,resolved,,,,,
1442,1442,MDRAW-01443,maryland,2025-26_record_book_all_time_results,1982-1983,1983,1982-12-01,UMES,Maryland Eastern Shore,maryland-eastern-shore,Yes,91,70,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D1 UMES W 91-70,resolved,,,,,
1443,1443,MDRAW-01444,maryland,2025-26_record_book_all_time_results,1982-1983,1983,1982-12-04,Canisius,Canisius,canisius,Yes,67,66,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D4 at Canisius W 67-66,resolved,,,,,
1444,1444,MDRAW-01445,maryland,2025-26_record_book_all_time_results,1982-1983,1983,1982-12-08,St. Joseph’s,Saint Joseph's,saint-joseph-s,Yes,56,64,L,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D8 St. Joseph’s L 56-64,resolved,,,,,
1445,1445,MDRAW-01446,maryland,2025-26_record_book_all_time_results,1982-1983,1983,1982-12-11,Duquesne,Duquesne,duquesne,Yes,85,64,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D11 Duquesne W 85-64,resolved,,,,,
1446,1446,MDRAW-01447,maryland,2025-26_record_book_all_time_results,1982-1983,1983,1982-12-14,Towson,Towson,towson,Yes,66,56,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D14 Towson W 66-56,resolved,,,,,
