source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
baylor,"* at Texas Tech 9,188",texas-tech,Texas Tech,TRUE,1,2004-2005,2004-2005,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* at Texas Tech 9,202",texas-tech,Texas Tech,TRUE,1,2016-2017,2016-2017,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* at Texas Tech 9,232",texas-tech,Texas Tech,TRUE,1,2009-2010,2009-2010,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* at Texas Tech 9,385",texas-tech,Texas Tech,TRUE,1,2003-2004,2003-2004,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* at Texas Tech 9,516",texas-tech,Texas Tech,TRUE,1,2013-2014,2013-2014,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* at Texas Tech 9,750",texas-tech,Texas Tech,TRUE,1,2002-2003,2002-2003,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,* at UALR,little-rock,Little Rock,TRUE,1,1949-1950,1949-1950,RESOLVED,current-D1 alias/lineage normalization,,Current project program registry plus Baylor official series/rename evidence
baylor,"* at West Virginia 11,843",west-virginia,West Virginia,TRUE,1,2013-2014,2013-2014,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* at West Virginia 12,551",west-virginia,West Virginia,TRUE,1,2017-2018,2017-2018,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* at West Virginia 12,783",west-virginia,West Virginia,TRUE,1,2014-2015,2014-2015,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* at West Virginia 14,014",west-virginia,West Virginia,TRUE,1,2019-2020,2019-2020,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* at West Virginia 14,069",west-virginia,West Virginia,TRUE,1,2015-2016,2015-2016,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* at West Virginia 14,632",west-virginia,West Virginia,TRUE,1,2016-2017,2016-2017,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* at West Virginia 6,588",west-virginia,West Virginia,TRUE,1,2012-2013,2012-2013,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* at West Virginia 9,936",west-virginia,West Virginia,TRUE,1,2018-2019,2018-2019,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* vs. Iowa State4 18,930",iowa-state,Iowa State,TRUE,1,2018-2019,2018-2019,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,* vs. Rice1,rice,Rice,TRUE,1,1937-1938,1937-1938,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,12/12 TEXAS TECH,texas-tech,Texas Tech,TRUE,1,2025-2026,2025-2026,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,2/2 ARIZONA,arizona,Arizona,TRUE,1,2025-2026,2025-2026,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,22/22 BYU,byu,BYU,TRUE,1,2025-2026,2025-2026,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry
baylor,3/3 IOWA STATE,iowa-state,Iowa State,TRUE,1,2025-2026,2025-2026,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,7/7 HOUSTON,houston,Houston,TRUE,1,2025-2026,2025-2026,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,A&M-CORPUS CHRISTI,texas-a-m-corpus-christi,Texas A&M-Corpus Christi,TRUE,1,1950-1951,1950-1951,RESOLVED,current-D1 alias/lineage normalization,,Current project program registry plus Baylor official series/rename evidence
baylor,ABILENE CHRISTIAN,abilene-christian,Abilene Christian,TRUE,3,1957-1958,1971-1972,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"ACU 7,500",abilene-christian,Abilene Christian,TRUE,1,2024-2025,2024-2025,RESOLVED,current-D1 alias/lineage normalization,,Current project program registry plus Baylor official series/rename evidence
baylor,ALABAMA STATE,alabama-state,Alabama State,TRUE,1,1987-1988,1987-1988,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"ALABAMA3 7,094",alabama,Alabama,TRUE,1,2018-2019,2018-2019,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,ALASKA ANCHORAGE,alaska-anchorage,Alaska Anchorage,FALSE,1,1980-1981,1980-1981,RESOLVED,historical/non-current identity research,,Baylor series identity; current non-D1
baylor,"ALASKA-FAIRBANKS 2,711",alaska-fairbanks,Alaska-Fairbanks,FALSE,1,1999-2000,1999-2000,RESOLVED,historical/non-current identity research,,Baylor series identity; current non-D1
baylor,ALCORN STATE,alcorn-state,Alcorn State,TRUE,1,2025-2026,2025-2026,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"ALCORN STATE 2,350",alcorn-state,Alcorn State,TRUE,1,2020-2021,2020-2021,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"ALCORN STATE 4,289",alcorn-state,Alcorn State,TRUE,1,2006-2007,2006-2007,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"ALCORN STATE 6,923",alcorn-state,Alcorn State,TRUE,1,2021-2022,2021-2022,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"ALCORN STATE1 5,330",alcorn-state,Alcorn State,TRUE,1,2017-2018,2017-2018,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,ALLEN ACADEMY,allen-academy,Allen Academy,FALSE,1,1907-1908,1907-1908,RESOLVED,historical/non-current identity research,,Historical school identity preserved
baylor,ANGELO STATE,angelo-state,Angelo State,FALSE,3,1973-1974,1987-1988,RESOLVED,historical/non-current identity research,,Current non-D1 institution
baylor,"ANGELO STATE 5,663",angelo-state,Angelo State,FALSE,1,2006-2007,2006-2007,RESOLVED,historical/non-current identity research,,Current non-D1 institution
baylor,ARIZONA,arizona,Arizona,TRUE,1,1970-1971,1970-1971,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"ARIZONA 7,872",arizona,Arizona,TRUE,1,2019-2020,2019-2020,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
