source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes
MIZ-HIST-00029,missouri,historical_media_guide,1907-1908,1908,1908-02-06,Central Missouri,Central Missouri,central-missouri,No,46,16,W,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Feb. 6 Central Missouri W 46-16,opponent_resolved_site_pending,
MIZ-HIST-00030,missouri,historical_media_guide,1907-1908,1908,1908-02-08,Baker,Baker,baker,No,38,28,W,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Feb. 8 Baker W 38-28,opponent_resolved_site_pending,
MIZ-HIST-00031,missouri,historical_media_guide,1907-1908,1908,1908-02-15,Mo. Athletic Club,Missouri Athletic Club,missouri-athletic-club,No,24,36,L,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Feb. 15 Mo. Athletic Club L 24-36,opponent_resolved_site_pending,
MIZ-HIST-00032,missouri,historical_media_guide,1907-1908,1908,1908-02-17,Kansas,Kansas,kansas,Yes,19,30,L,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Feb. 17 Kansas L 19-30,opponent_resolved_site_pending,
MIZ-HIST-00033,missouri,historical_media_guide,1907-1908,1908,1908-02-18,Kansas,Kansas,kansas,Yes,22,26,L,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Feb. 18 Kansas L 22-26,opponent_resolved_site_pending,
MIZ-HIST-00034,missouri,historical_media_guide,1907-1908,1908,1908-02-22,K.C. Athletic Club,K.C. Athletic Club,k-c-athletic-club,No,28,34,L,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Feb. 22 K.C. Athletic Club L 28-34,opponent_resolved_site_pending,
MIZ-HIST-00035,missouri,historical_media_guide,1908-1909,1909,1908-12-18,Central Missouri,Central Missouri,central-missouri,No,38,16,W,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Dec. 18 Central Missouri W 38-16,opponent_resolved_site_pending,
MIZ-HIST-00036,missouri,historical_media_guide,1908-1909,1909,1908-12-19,Central Missouri,Central Missouri,central-missouri,No,46,12,W,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Dec. 19 Central Missouri W 46-12,opponent_resolved_site_pending,
MIZ-HIST-00037,missouri,historical_media_guide,1908-1909,1909,1909-01-09,Iowa State,Iowa State,iowa-state,Yes,53,14,W,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Jan. 9 Iowa State W 53-14,opponent_resolved_site_pending,
MIZ-HIST-00038,missouri,historical_media_guide,1908-1909,1909,1909-01-16,Washington (Mo.),Washington University of St. Louis,washington-university-of-st-louis,No,25,34,L,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Jan. 16 @ Washington (Mo.) L 25-34,opponent_resolved_site_pending,
